Anio,temp_promedio,temp_maxima,temp_minima
1850,-0.4264666666666667,-0.1755,-0.7337
1851,-0.2635166666666667,-0.0453,-0.641
1852,-0.22404166666666667,0.0643,-0.5746
1853,-0.26235,-0.0398,-0.4011
1854,-0.29359166666666664,-0.0993,-0.4537
1855,-0.2913833333333333,-0.1703,-0.4077
1856,-0.32809166666666667,-0.0828,-0.5613
1857,-0.4658583333333333,-0.2888,-0.6748
1858,-0.3967416666666667,-0.2801,-0.5661
1859,-0.2919833333333333,-0.1699,-0.4054
1860,-0.407125,-0.1366,-0.7965
1861,-0.4637,-0.0976,-0.9052
1862,-0.554825,-0.2752,-0.8983
1863,-0.38283333333333336,-0.0872,-0.5606
1864,-0.4941166666666666,-0.1159,-0.8249
1865,-0.39224166666666666,-0.2297,-0.7171
1866,-0.4001666666666666,-0.0532,-0.7483
1867,-0.3994,-0.1567,-0.7115
1868,-0.3631166666666667,-0.0465,-0.7107
1869,-0.31851666666666667,0.1374,-0.6509
1870,-0.3277666666666667,-0.0832,-0.675
1871,-0.37343333333333334,-0.0727,-0.6884
1872,-0.30945833333333334,0.0327,-0.6274
1873,-0.321175,-0.1578,-0.4621
1874,-0.36540833333333333,-0.1597,-0.6643
1875,-0.3667583333333333,-0.1809,-0.5855
1876,-0.4108583333333333,-0.2006,-0.6268
1877,-0.08243333333333334,0.2297,-0.409
1878,0.010333333333333338,0.403,-0.2904
1879,-0.288725,-0.1503,-0.5423
1880,-0.30316666666666664,-0.0949,-0.4331
1881,-0.21300833333333333,-0.0534,-0.3896
1882,-0.27210833333333334,-0.0118,-0.6278
1883,-0.32755833333333334,-0.1592,-0.4484
1884,-0.47446666666666665,-0.3104,-0.5693
1885,-0.45814166666666667,-0.204,-0.6448
1886,-0.408175,-0.2794,-0.4983
1887,-0.48835,-0.3789,-0.7341
1888,-0.37259166666666665,-0.158,-0.6151
1889,-0.25040833333333334,-0.0052,-0.5087
1890,-0.5002416666666667,-0.3808,-0.6672
1891,-0.39752499999999996,-0.2233,-0.5928
1892,-0.5065583333333333,-0.288,-0.7892
